"","New_geog_code","year","geog_n","CLA_Priv","CLA_InBound","CLA_Mar","CLA_Vol","CLA_P2yrs","CLA_Fost","CLA_White","CLA_female","CLA_during","CLA_stp_during","CLA_Away31Mar","CLA_AwayMoreOnce","CLA_AwayIncs","CLA_AwayDuringYear","CLA_Miss31Mar","CLA_MissMoreOnce","CLA_MissIncs","CLA_MissDuringYear","CLA_P2yrs_PERCENT","per_for_profit","per_third_sector","per_white_percent","per_female_percent","per_foster_percent","per_short_term","per_less_than_2yrs","per_outside_LA","per_missing_incidents","per_away_incidents","region_name","CLA_Placed more than 20 miles from home","CLA_With 3 or more placements during the year","LA_own_spend","Private_spend","Other_Public_spend","Voluntary_spend","Total_spend","three_or_more_percent","more_20","LAD19NM","over","lead","safe","exper","CLA_P2yrs_PERCENTminus"
"1","E06000001","2011","Hartlepool","27","111",167,"0","39","143","163","82","232","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1676646706587,0,97.6047904191617,49.1017964071856,85.6287425149701,9.48275862068965,76.6467065868264,33.5329341317365,NA,NA,"North East",NA,NA,"3924658","2530955","0","379297",6.83491,NA,NA,NA,NA,NA,NA,NA,NA
"2","E06000001","2012","Hartlepool","33","110",176,"0","36","151","169","94","247","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.75,0,96.0227272727273,53.4090909090909,85.7954545454545,7.69230769230769,79.5454545454545,37.5,NA,NA,"North East",NA,NA,"3200600","2653177","17581","175825",6.047183,NA,NA,NA,NA,NA,NA,NA,NA
"3","E06000001","2013","Hartlepool","30","124",192,"0","44","167","186","101","257","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.625,0,96.875,52.6041666666667,86.9791666666667,5.05836575875486,77.0833333333333,35.4166666666667,NA,NA,"North East",NA,NA,"3912396","2550551","2533","183542",6.649022,NA,NA,NA,NA,NA,NA,NA,NA
"4","E06000001","2014","Hartlepool","35","124",207,"x","51","174","201","96","282","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9082125603865,NA,97.1014492753623,46.3768115942029,84.0579710144928,4.60992907801418,75.3623188405797,40.0966183574879,NA,NA,"North East",NA,NA,"4975637","2254506","2370","256874",7.489387,NA,NA,NA,NA,NA,NA,NA,NA
"5","E06000001","2015","Hartlepool","29","111",163,"x",NA,"137","x","79","247","12","0","9","30","13","0","22","226",226,NA,17.7914110429448,NA,NA,48.4662576687117,84.0490797546012,4.8582995951417,NA,31.9018404907976,14.17004048583,5.26315789473684,"North East",NA,NA,"5009030","2085830","101870","232920",7.42965,NA,NA,NA,NA,NA,NA,NA,NA
"6","E06000001","2016","Hartlepool","24","144",208,"11",NA,"176","193","106","268","12","0","7","67","16","0","29","266",266,NA,11.5384615384615,5.28846153846154,92.7884615384615,50.9615384615385,84.6153846153846,4.47761194029851,NA,30.7692307692308,13.4328358208955,5.97014925373134,"North East",NA,NA,"5016470","3021700","1190","124000",8.16336,NA,NA,NA,NA,NA,NA,NA,NA
"7","E06000001","2017","Hartlepool","44","179",257,"15",NA,"215","231","115","328","12","0","8","50","21","x","27","184",184,NA,17.1206225680934,5.83657587548638,89.8832684824903,44.7470817120623,83.6575875486381,3.65853658536585,NA,30.3501945525292,11.890243902439,6.40243902439024,"North East",NA,NA,"5171430","4349270","17320","0",9.53802,NA,NA,NA,NA,NA,NA,NA,NA
"8","E06000001","2018","Hartlepool","43","172",278,"12","57","212","259","119","355","10","0","c","30","15","c","29","246",246,"80",15.4676258992806,4.31654676258993,93.1654676258993,42.8057553956835,76.2589928057554,2.8169014084507,79.4964028776978,38.1294964028777,11.5492957746479,4.22535211267606,"North East","23","17","5809350","4623300","123440","5580",10.5617,4.7887323943662,8.27338129496403,"Hartlepool","Good","Good","Good","Outstanding",20
"9","E06000001","2019","Hartlepool","46","190",285,"9","67","229","266","136","389","7","0","c","17","12","0","36","274",274,"73",16.140350877193,3.15789473684211,93.3333333333333,47.719298245614,80.3508771929825,1.79948586118252,76.4912280701754,33.3333333333333,11.5681233933162,3.08483290488432,"North East","24","20","6160700","5392920","247300","18530",11.8195,5.1413881748072,8.42105263157895,NA,NA,NA,NA,NA,27
"10","E06000001","2020","Hartlepool","47","210",311,"12","87","229","292","145","429","7","0","c","9","c","c","27","203",203,"77",15.112540192926,3.85852090032154,93.8906752411576,46.6237942122186,73.6334405144695,1.63170163170163,72.0257234726688,32.475884244373,8.62470862470862,NA,"North East","29","17","6525480","5733180","340160","34550",12.6334,3.96270396270396,9.32475884244373,NA,NA,NA,NA,NA,23
